Time,A1,A2,CONTROL1,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0:00:00,0.3197,0.275,0.2133,0.3549,0.2737,0.2508,0.2396,0.3605,0.197,0.3048,0.1992,0.276,0.1931,0.3616,0.2316,0.2758,0.2294
0:00:15,0.3533,0.3181,0.2531,0.3968,0.3174,0.2762,0.2737,0.4029,0.2235,0.3367,0.2263,0.3038,0.2206,0.4039,0.2662,0.3047,0.2637
0:00:30,0.3849,0.3612,0.2917,0.4362,0.3588,0.2999,0.3054,0.4434,0.2479,0.3664,0.2525,0.3305,0.2458,0.4449,0.2997,0.3317,0.296
0:00:45,0.4164,0.4018,0.3302,0.4756,0.4,0.3231,0.3367,0.483,0.2718,0.3958,0.2777,0.357,0.2702,0.4851,0.3289,0.3584,0.3276
0:01:00,0.4477,0.4427,0.3675,0.514,0.4409,0.3468,0.367,0.5226,0.2957,0.4243,0.3029,0.383,0.2947,0.5254,0.359,0.3846,0.3587
0:01:15,0.4783,0.484,0.4058,0.553,0.4816,0.3691,0.3968,0.562,0.3189,0.4527,0.3275,0.4085,0.318,0.5652,0.391,0.4105,0.3889
0:01:30,0.5088,0.5244,0.4436,0.5915,0.5211,0.3917,0.4258,0.6008,0.3423,0.4801,0.3521,0.4342,0.3415,0.6044,0.4179,0.4367,0.4184
0:01:45,0.5398,0.566,0.4826,0.6292,0.5613,0.4141,0.4542,0.6394,0.3652,0.5081,0.3761,0.4592,0.3647,0.6437,0.4459,0.4621,0.4474
0:02:00,0.5704,0.6046,0.5198,0.6673,0.6018,0.4362,0.4823,0.6783,0.3878,0.535,0.4006,0.4849,0.3874,0.6824,0.4755,0.4873,0.4765
0:02:15,0.5992,0.6464,0.5589,0.705,0.6412,0.458,0.5106,0.7155,0.4105,0.5608,0.4241,0.5099,0.4097,0.721,0.5025,0.5119,0.5051
0:02:30,0.6285,0.685,0.5961,0.742,0.6805,0.4802,0.5373,0.7536,0.4323,0.5877,0.4481,0.5356,0.4322,0.7594,0.5301,0.5367,0.5334
